PHI,T,P,NH3,H2,CH4,LBV,REF NO
0.8,300,1,0.3,0.14,0.56,20.32,13
0.7,360,1,0,0,1,23.4,94
0.8,298,1,0.6,0.4,0,20.6,58
0.8,298,1,0.6,0.4,0,20.7,56
0.8,373,1,0.7,0.3,0,20.7,57
0.8,298,2,0.5,0.5,0,20.98,121
0.8,298,1,0,0.2,0.8,21.21,110
0.8,373,7.5,0,0.4,0.6,21.33,74
0.6,360,1,0,0,1,13.2,86
0.95,358,1,0,0,1,48.4,112
0.8,298,1,0.6,0.4,0,21.9,118
1,358,1,0,0,1,48.9,112
0.8,360,1,0,0,1,32.6,98
0.8,473,1,0.8,0.2,0,22.5,17
0.8,298,1,0,0.2,0.8,22.5,74
0.8,300,1,0.2,0.16,0.64,22.87,13
1.3,360,1,0,0,1,34.9,98
0.8,372.89,1,0,0,1,39.2,84
0.8,373,1,0,0,1,37.6,85
0.8,298,1,0,0.05,0.95,24.2,110
0.8,295,1,0,0.1,0.9,24.28,102
0.8,443,5,0,0.2,0.8,24.5,87
0.8,358,1,0,0,1,36.2,74
1.4,373,1,0,0,1,23.6,89
1.3,373,1,0,0,1,37.4,89
0.8,443,1,0.7,0.3,0,25,60
0.8,298,1,0.5,0.5,0,25,61
1.2,373,1,0,0,1,46.5,89
1,373,1,0,0,1,48.1,89
1.1,373,1,0,0,1,50.7,89
0.8,373,1,0,0,1,37,74
1.7,373,1,0,0,1,10,98
0.8,298,1,0,0.1,0.9,25.56,82
0.8,323,1,0.6,0.4,0,25.6,57
